STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,DAPR_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SN02,SN02_ATTRIBUTES,SN03,SN03_ATTRIBUTES,SN12,SN12_ATTRIBUTES,SN52,SN52_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,SX02,SX02_ATTRIBUTES,SX03,SX03_ATTRIBUTES,SX12,SX12_ATTRIBUTES,SX52,SX52_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WESD,WESD_ATTRIBUTES,WESF,WESF_ATTRIBUTES,WT05,WT05_ATTRIBUTES
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/12/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/13/2008,,,,,,,0.05,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/14/2008,,,,,,,0.05,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/15/2008,,,,,,,0.35,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/16/2008,,,,,,,0.96,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/17/2008,,,,,,,0.02,",,N",,,,,,,,,0.3,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/18/2008,,,,,,,0.22,",,N",,,,,,,,,2.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/19/2008,,,,,,,0.06,",,N",,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/20/2008,,,,,,,0.02,",,N",,,,,,,,,0.4,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/21/2008,,,,,,,0.11,",,N",,,,,,,,,2,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/22/2008,,,,,,,0.05,",,N",,,,,,,,,0.8,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/23/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/24/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/25/2008,,,,,,,0.4,",,N",,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,11/26/2008,,,,,,,0.15,",,N",,,,,,,,,0.5,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/1/2008,5,",,N",,,0.55,",,N",,,,,,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/2/2008,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/3/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/4/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/5/2008,,,,,,,0,"T,,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/6/2008,,,,,,,0,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/8/2008,2,",,N",,,0.01,",,N",,,,,,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/9/2008,,,,,,,0.05,",,N",,,,,,,,,0.2,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/10/2008,,,,,,,0.05,",,N",,,,,,,,,0,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/11/2008,,,,,,,0.26,",,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/12/2008,,,,,,,1.39,",,N",,,,,,,,,8.9,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/13/2008,,,,,,,0.06,",,N",,,,,,,,,1,",,N",,,,,,,,,,,,,,,,,,,,,,,,
US1NYTM0026,"BROOKTONDALE 1.3 NW, NY US",42.3925,-76.4153,274,12/14/2008,,,,,,,0,"T,,N",,,,,,,,,0,"T,,N",,,,,,,,,,,,,,,,,,,,,,,,
